transaction_id,account_code,dept_code,month,actual_amount,description
177,6404,BT,9/1/25,12332,
178,6404,BT,10/1/25,12419,
179,6404,BT,11/1/25,13826,Content production originally scheduled for the November launch was postponed along with the launch date
180,6404,BT,12/1/25,14528,"Content production for the December launch reused assets originally created for November, reducing costs"
181,4000,FB,1/1/25,296158,
182,4000,FB,2/1/25,289341,February sales exceeded a conservatively set budget as the category continued its early growth trajectory
183,4000,FB,3/1/25,297224,March sales continued to exceed budget as the snack and beverage category gained further traction
184,4000,FB,4/1/25,298796,"April sales exceeded budget, continuing the category's consistent growth trend"
185,4000,FB,5/1/25,387950,May sales exceeded budget on strong demand during a spring beverage promotion
186,4000,FB,6/1/25,290979,June sales exceeded budget on continued strength in the spring beverage promotion
187,4000,FB,7/1/25,272214,"July sales exceeded budget, continuing the category's consistent outperformance"
188,4000,FB,8/1/25,276249,August sales exceeded budget as the category maintained its growth trajectory
189,4000,FB,9/1/25,286328,September sales exceeded budget on strong back-to-school snack purchases
190,4000,FB,10/1/25,283132,October sales exceeded a conservatively set budget as the snack and beverage category continued to gain traction
191,4000,FB,11/1/25,390903,November sales exceeded budget on strong early holiday season snack purchases
192,4000,FB,12/1/25,400194,December sales exceeded budget on strong year-end snack and beverage gifting demand
193,5000,FB,1/1/25,216208,
194,5000,FB,2/1/25,222781,COGS increased in line with the February sales outperformance
195,5000,FB,3/1/25,219993,COGS increased in line with the March sales outperformance
196,5000,FB,4/1/25,219568,
197,5000,FB,5/1/25,288175,COGS increased in line with the May sales outperformance
198,5000,FB,6/1/25,226645,COGS increased in line with the June sales outperformance
199,5000,FB,7/1/25,208390,COGS increased in line with the July sales outperformance
200,5000,FB,8/1/25,208682,COGS increased in line with the August sales outperformance
201,5000,FB,9/1/25,208882,COGS increased in line with the September sales outperformance
202,5000,FB,10/1/25,217878,COGS increased in line with the October sales outperformance
203,5000,FB,11/1/25,289309,COGS increased in line with the November sales outperformance
204,5000,FB,12/1/25,292514,COGS increased in line with the December sales surge
205,6101,FB,1/1/25,8353,
206,6101,FB,2/1/25,8128,
207,6101,FB,3/1/25,8919,
208,6101,FB,4/1/25,8761,
209,6101,FB,5/1/25,8420,
210,6101,FB,6/1/25,8573,
211,6101,FB,7/1/25,7807,
212,6101,FB,8/1/25,8015,
213,6101,FB,9/1/25,7842,
214,6101,FB,10/1/25,7860,
215,6101,FB,11/1/25,8048,
216,6101,FB,12/1/25,8068,
217,6102,FB,1/1/25,1461,
218,6102,FB,2/1/25,1536,
219,6102,FB,3/1/25,1590,
220,6102,FB,4/1/25,1593,
221,6102,FB,5/1/25,1548,
222,6102,FB,6/1/25,1587,
223,6102,FB,7/1/25,1507,
224,6102,FB,8/1/25,1514,
225,6102,FB,9/1/25,1440,
226,6102,FB,10/1/25,1430,
227,6102,FB,11/1/25,1442,
228,6102,FB,12/1/25,1449,
229,6103,FB,1/1/25,896,
230,6103,FB,2/1/25,943,
231,6103,FB,3/1/25,925,
232,6103,FB,4/1/25,915,
233,6103,FB,5/1/25,999,
234,6103,FB,6/1/25,945,
235,6103,FB,7/1/25,934,
236,6103,FB,8/1/25,898,
237,6103,FB,9/1/25,951,
238,6103,FB,10/1/25,920,
239,6103,FB,11/1/25,930,
240,6103,FB,12/1/25,936,
241,6104,FB,1/1/25,1869,
242,6104,FB,2/1/25,1899,
243,6104,FB,3/1/25,1880,
244,6104,FB,4/1/25,1867,
245,6104,FB,5/1/25,1904,
246,6104,FB,6/1/25,1997,
247,6104,FB,7/1/25,1877,
248,6104,FB,8/1/25,1792,
249,6104,FB,9/1/25,1822,
250,6104,FB,10/1/25,1929,
251,6104,FB,11/1/25,1915,
252,6104,FB,12/1/25,1804,
253,6105,FB,1/1/25,4140,
254,6105,FB,2/1/25,4037,
255,6105,FB,3/1/25,4139,
256,6105,FB,4/1/25,4031,
257,6105,FB,5/1/25,6660,Sales incentive payout exceeded budget on strong May promotional performance
258,6105,FB,6/1/25,4090,
259,6105,FB,7/1/25,3773,
260,6105,FB,8/1/25,3863,
261,6105,FB,9/1/25,3938,
262,6105,FB,10/1/25,3966,
263,6105,FB,11/1/25,4183,
264,6105,FB,12/1/25,4022,
265,6209,FB,1/1/25,7550,
266,6209,FB,2/1/25,5735,
267,6209,FB,3/1/25,5877,
268,6209,FB,4/1/25,5671,
269,6209,FB,5/1/25,5653,
270,6209,FB,6/1/25,5844,Additional travel supported supplier meetings tied to the strong beverage promotion
271,6209,FB,7/1/25,5298,
272,6209,FB,8/1/25,5725,
273,6209,FB,9/1/25,5544,
274,6209,FB,10/1/25,5432,Additional travel was required to visit a new snack distributor ahead of the year-end season
275,6209,FB,11/1/25,8947,Additional travel supported supplier negotiations ahead of the year-end promotional period
276,6209,FB,12/1/25,9053,Additional travel supported year-end distributor relationship management
277,6301,FB,1/1/25,7550,
278,6301,FB,2/1/25,5735,
279,6301,FB,3/1/25,5877,
280,6301,FB,4/1/25,5671,
281,6301,FB,5/1/25,8153,
282,6301,FB,6/1/25,5844,Additional warehouse space was used to support the stronger-than-planned June sales volume
283,6301,FB,7/1/25,5298,
284,6301,FB,8/1/25,5725,
285,6301,FB,9/1/25,5544,
286,6301,FB,10/1/25,5432,Additional warehouse space was used to support the stronger-than-planned October sales volume
287,6301,FB,11/1/25,8947,Additional warehouse space was rented to store inventory ahead of the year-end promotional period
288,6301,FB,12/1/25,9053,Warehouse costs rose in line with higher year-end inventory levels
289,6302,FB,1/1/25,4690,
290,6302,FB,2/1/25,4801,
291,6302,FB,3/1/25,5209,
292,6302,FB,4/1/25,4893,
293,6302,FB,5/1/25,7394,
294,6302,FB,6/1/25,4987,Outbound shipping costs rose in line with higher June sales volume
295,6302,FB,7/1/25,4611,
296,6302,FB,8/1/25,4661,
297,6302,FB,9/1/25,4751,
298,6302,FB,10/1/25,4458,
299,6302,FB,11/1/25,7371,Outbound shipping costs rose in line with higher November sales volume
300,6302,FB,12/1/25,7432,
301,6401,FB,1/1/25,6467,
302,6401,FB,2/1/25,6206,
303,6401,FB,3/1/25,6971,
304,6401,FB,4/1/25,6652,
305,6401,FB,5/1/25,10485,
306,6401,FB,6/1/25,6597,Advertising spend increased to sustain the momentum from the spring beverage promotion
307,6401,FB,7/1/25,6162,
308,6401,FB,8/1/25,6368,
309,6401,FB,9/1/25,5989,
310,6401,FB,10/1/25,5917,Advertising spend was increased to support the stronger-than-planned October sales momentum
311,6401,FB,11/1/25,9268,Advertising spend increased to support the year-end holiday promotional campaign
312,6401,FB,12/1/25,9378,Advertising spend remained elevated to support continued year-end gifting demand
313,6402,FB,1/1/25,1391,
314,6402,FB,2/1/25,1487,
315,6402,FB,3/1/25,1448,
316,6402,FB,4/1/25,1511,
317,6402,FB,5/1/25,3912,
318,6402,FB,6/1/25,1445,
319,6402,FB,7/1/25,1331,
320,6402,FB,8/1/25,1341,
321,6402,FB,9/1/25,1346,
322,6402,FB,10/1/25,1334,
323,6402,FB,11/1/25,3953,
324,6402,FB,12/1/25,4007,
325,6403,FB,1/1/25,564,
326,6403,FB,2/1/25,594,
327,6403,FB,3/1/25,583,
328,6403,FB,4/1/25,595,
329,6403,FB,5/1/25,3096,
330,6403,FB,6/1/25,605,
331,6403,FB,7/1/25,538,
332,6403,FB,8/1/25,568,
333,6403,FB,9/1/25,573,
334,6403,FB,10/1/25,546,
335,6403,FB,11/1/25,3097,
336,6403,FB,12/1/25,3112,
337,6404,FB,1/1/25,1110,
338,6404,FB,2/1/25,1126,
339,6404,FB,3/1/25,1263,
340,6404,FB,4/1/25,1156,
341,6404,FB,5/1/25,3633,
342,6404,FB,6/1/25,1209,
343,6404,FB,7/1/25,1045,
344,6404,FB,8/1/25,1059,
345,6404,FB,9/1/25,1067,
346,6404,FB,10/1/25,1065,
347,6404,FB,11/1/25,3770,
348,6404,FB,12/1/25,3743,
349,6501,FB,1/1/25,1256,
350,6501,FB,2/1/25,1304,
351,6501,FB,3/1/25,1334,
352,6501,FB,4/1/25,1356,
353,6501,FB,5/1/25,1292,
354,6501,FB,6/1/25,1312,
355,6501,FB,7/1/25,1209,
356,6501,FB,8/1/25,1234,
357,6501,FB,9/1/25,1230,
358,6501,FB,10/1/25,1315,
359,6501,FB,11/1/25,1294,
360,6501,FB,12/1/25,1241,
361,6101,GA,1/1/25,70343,
362,6101,GA,2/1/25,68055,
363,6101,GA,3/1/25,68687,
364,6101,GA,4/1/25,70937,
365,6101,GA,5/1/25,70900,
366,6101,GA,6/1/25,75552,
367,6101,GA,7/1/25,66204,
368,6101,GA,8/1/25,66847,
369,6101,GA,9/1/25,65729,
370,6101,GA,10/1/25,71246,
371,6101,GA,11/1/25,72803,
372,6101,GA,12/1/25,69681,
373,6102,GA,1/1/25,12498,
374,6102,GA,2/1/25,12215,
375,6102,GA,3/1/25,13085,
376,6102,GA,4/1/25,12598,
377,6102,GA,5/1/25,13297,
378,6102,GA,6/1/25,13617,
379,6102,GA,7/1/25,12310,
380,6102,GA,8/1/25,11547,
381,6102,GA,9/1/25,12338,
382,6102,GA,10/1/25,12741,
383,6102,GA,11/1/25,12683,
384,6102,GA,12/1/25,12741,
385,6103,GA,1/1/25,8051,
386,6103,GA,2/1/25,7578,
387,6103,GA,3/1/25,7996,
388,6103,GA,4/1/25,7806,
389,6103,GA,5/1/25,7887,
390,6103,GA,6/1/25,8349,
391,6103,GA,7/1/25,7450,
392,6103,GA,8/1/25,7699,
393,6103,GA,9/1/25,7633,
394,6103,GA,10/1/25,7516,
395,6103,GA,11/1/25,7723,
396,6103,GA,12/1/25,7812,
397,6104,GA,1/1/25,15676,
398,6104,GA,2/1/25,15089,
399,6104,GA,3/1/25,16667,Pension contributions increased following the annual contribution rate review conducted by HR in Q1
400,6104,GA,4/1/25,16477,Pension contributions remained elevated following the Q1 contribution rate review
401,6104,GA,5/1/25,16896,Pension contributions remained elevated following the Q1 contribution rate review
402,6104,GA,6/1/25,15612,
403,6104,GA,7/1/25,14222,
404,6104,GA,8/1/25,15141,
405,6104,GA,9/1/25,15089,
406,6104,GA,10/1/25,14562,
407,6104,GA,11/1/25,15158,
408,6104,GA,12/1/25,15730,
409,6105,GA,1/1/25,35545,
410,6105,GA,2/1/25,34473,
411,6105,GA,3/1/25,34954,
412,6105,GA,4/1/25,36413,
413,6105,GA,5/1/25,35118,
414,6105,GA,6/1/25,35785,
415,6105,GA,7/1/25,33634,
416,6105,GA,8/1/25,33300,
417,6105,GA,9/1/25,32358,
418,6105,GA,10/1/25,33572,
419,6105,GA,11/1/25,35394,
420,6105,GA,12/1/25,32837,
421,6201,GA,1/1/25,16600,
422,6201,GA,2/1/25,16600,
423,6201,GA,3/1/25,16600,
424,6201,GA,4/1/25,16600,
425,6201,GA,5/1/25,16600,
426,6201,GA,6/1/25,16600,
427,6201,GA,7/1/25,18260,
428,6201,GA,8/1/25,18260,
429,6201,GA,9/1/25,18260,
430,6201,GA,10/1/25,18260,
431,6201,GA,11/1/25,18260,
432,6201,GA,12/1/25,18260,
433,6202,GA,1/1/25,3735,
434,6202,GA,2/1/25,3735,
435,6202,GA,3/1/25,3735,
436,6202,GA,4/1/25,3735,
437,6202,GA,5/1/25,3735,
438,6202,GA,6/1/25,3735,
439,6202,GA,7/1/25,4150,
440,6202,GA,8/1/25,4150,
441,6202,GA,9/1/25,4150,
442,6202,GA,10/1/25,4150,
443,6202,GA,11/1/25,4150,
444,6202,GA,12/1/25,4150,
445,6203,GA,1/1/25,24900,
446,6203,GA,2/1/25,24900,
447,6203,GA,3/1/25,24900,
448,6203,GA,4/1/25,24900,
449,6203,GA,5/1/25,24900,
450,6203,GA,6/1/25,24900,
451,6203,GA,7/1/25,21000,Office rent remained below budget under the renegotiated headquarters lease terms
452,6203,GA,8/1/25,21000,Office rent remained below budget under the renegotiated headquarters lease terms
453,6203,GA,9/1/25,21000,Office rent remained below budget under the renegotiated headquarters lease terms
454,6203,GA,10/1/25,21000,Office rent came in below budget following a renegotiated headquarters lease that reduced the monthly rate starting in the second half of the year
455,6203,GA,11/1/25,21000,Office rent remained below budget under the renegotiated headquarters lease terms
456,6203,GA,12/1/25,21000,Office rent remained below budget under the renegotiated headquarters lease terms
457,6204,GA,1/1/25,7198,
458,6204,GA,2/1/25,7395,
459,6204,GA,3/1/25,7721,
460,6204,GA,4/1/25,7908,
461,6204,GA,5/1/25,7821,
462,6204,GA,6/1/25,7941,
463,6204,GA,7/1/25,6550,
464,6204,GA,8/1/25,7885,
465,6204,GA,9/1/25,6653,
466,6204,GA,10/1/25,7338,
467,6204,GA,11/1/25,7694,
468,6204,GA,12/1/25,6308,
469,6206,GA,1/1/25,12450,
470,6206,GA,2/1/25,12450,
471,6206,GA,3/1/25,12450,
472,6206,GA,4/1/25,12450,
473,6206,GA,5/1/25,12450,
474,6206,GA,6/1/25,20750,Additional IT software licenses were purchased ahead of the mid-year system consolidation
475,6206,GA,7/1/25,12450,
476,6206,GA,8/1/25,12450,
477,6206,GA,9/1/25,12450,
478,6206,GA,10/1/25,12450,
479,6206,GA,11/1/25,12450,
480,6206,GA,12/1/25,12450,
481,6207,GA,1/1/25,378,
482,6207,GA,2/1/25,721,
483,6207,GA,3/1/25,438,
484,6207,GA,4/1/25,794,
485,6207,GA,5/1/25,920,
486,6207,GA,6/1/25,599,
487,6207,GA,7/1/25,483,
488,6207,GA,8/1/25,652,
489,6207,GA,9/1/25,329,
490,6207,GA,10/1/25,251,
491,6207,GA,11/1/25,880,
492,6207,GA,12/1/25,264,
493,6208,GA,1/1/25,19090,
494,6208,GA,2/1/25,19090,
495,6208,GA,3/1/25,19090,
496,6208,GA,4/1/25,19090,
497,6208,GA,5/1/25,19090,
498,6208,GA,6/1/25,19090,
499,6208,GA,7/1/25,19090,
500,6208,GA,8/1/25,19090,
501,6208,GA,9/1/25,22410,Additional legal fees were incurred for trademark registration filings in new export markets
502,6208,GA,10/1/25,19090,
503,6208,GA,11/1/25,19090,
504,6208,GA,12/1/25,19090,
505,6209,GA,1/1/25,2186,
506,6209,GA,2/1/25,686,
507,6209,GA,3/1/25,1261,
508,6209,GA,4/1/25,6623,Additional travel costs were incurred for an unplanned overseas supplier audit visit
509,6209,GA,5/1/25,642,
510,6209,GA,6/1/25,1200,
511,6209,GA,7/1/25,468,
512,6209,GA,8/1/25,315,
513,6209,GA,9/1/25,832,
514,6209,GA,10/1/25,925,
515,6209,GA,11/1/25,2055,
516,6209,GA,12/1/25,614,
517,6210,GA,1/1/25,0,
518,6210,GA,2/1/25,1245,
519,6210,GA,3/1/25,830,
520,6210,GA,4/1/25,2075,
521,6210,GA,5/1/25,830,
522,6210,GA,6/1/25,0,
523,6210,GA,7/1/25,830,
524,6210,GA,8/1/25,1245,
525,6210,GA,9/1/25,830,
526,6210,GA,10/1/25,830,
527,6210,GA,11/1/25,1660,
528,6210,GA,12/1/25,830,
529,4000,HP,1/1/25,503112,
530,4000,HP,2/1/25,490545,
531,4000,HP,3/1/25,521925,
532,4000,HP,4/1/25,487646,
533,4000,HP,5/1/25,892050,
534,4000,HP,6/1/25,479402,
535,4000,HP,7/1/25,477290,
536,4000,HP,8/1/25,454686,
537,4000,HP,9/1/25,487130,
538,4000,HP,10/1/25,560717,
539,4000,HP,11/1/25,869451,
540,4000,HP,12/1/25,850292,
541,5000,HP,1/1/25,352428,
542,5000,HP,2/1/25,336633,
543,5000,HP,3/1/25,359826,
544,5000,HP,4/1/25,355146,
545,5000,HP,5/1/25,610463,
546,5000,HP,6/1/25,353111,
547,5000,HP,7/1/25,331146,
548,5000,HP,8/1/25,313977,
549,5000,HP,9/1/25,337680,
550,5000,HP,10/1/25,386996,
551,5000,HP,11/1/25,577788,
552,5000,HP,12/1/25,593592,
553,6101,HP,1/1/25,57140,
554,6101,HP,2/1/25,55860,
555,6101,HP,3/1/25,59392,
556,6101,HP,4/1/25,56460,
557,6101,HP,5/1/25,56914,
558,6101,HP,6/1/25,58182,
559,6101,HP,7/1/25,52624,
560,6101,HP,8/1/25,57740,
561,6101,HP,9/1/25,57528,
562,6101,HP,10/1/25,58514,
563,6101,HP,11/1/25,58536,
564,6101,HP,12/1/25,56668,
565,6102,HP,1/1/25,10036,
566,6102,HP,2/1/25,10092,
567,6102,HP,3/1/25,10620,
568,6102,HP,4/1/25,10976,Health insurance costs exceeded budget following a mid-year plan renewal that increased the per-employee premium
569,6102,HP,5/1/25,10520,
570,6102,HP,6/1/25,11120,Health insurance costs remained above budget under the renewed plan's higher per-employee premium
571,6102,HP,7/1/25,10028,
572,6102,HP,8/1/25,9602,
573,6102,HP,9/1/25,9966,
574,6102,HP,10/1/25,9884,
575,6102,HP,11/1/25,9630,
576,6102,HP,12/1/25,9704,
577,6103,HP,1/1/25,6362,
578,6103,HP,2/1/25,6224,
579,6103,HP,3/1/25,6780,
580,6103,HP,4/1/25,6466,
581,6103,HP,5/1/25,6582,
582,6103,HP,6/1/25,6714,
583,6103,HP,7/1/25,5944,
584,6103,HP,8/1/25,6016,
585,6103,HP,9/1/25,6090,
586,6103,HP,10/1/25,6106,
587,6103,HP,11/1/25,6372,
588,6103,HP,12/1/25,6212,
589,6104,HP,1/1/25,13106,Pension contributions exceeded budget following a policy update requiring higher employer contributions starting the year
590,6104,HP,2/1/25,13132,Pension contributions remained above budget under the updated employer contribution policy
591,6104,HP,3/1/25,12558,Pension contributions remained above budget under the updated employer contribution policy
592,6104,HP,4/1/25,13624,Pension contributions remained above budget under the updated employer contribution policy
593,6104,HP,5/1/25,13838,Pension contributions remained above budget under the updated employer contribution policy
594,6104,HP,6/1/25,12944,Pension contributions remained above budget under the updated employer contribution policy
595,6104,HP,7/1/25,11924,
596,6104,HP,8/1/25,11812,
597,6104,HP,9/1/25,12646,
598,6104,HP,10/1/25,12890,
599,6104,HP,11/1/25,13134,
600,6104,HP,12/1/25,12290,
601,6105,HP,1/1/25,27566,Sales incentive payout exceeded a conservatively set budget on strong January promotional performance
602,6105,HP,2/1/25,27382,Sales incentive payout exceeded budget on continued strong promotional performance
603,6105,HP,3/1/25,28728,Sales incentive payout exceeded budget on continued strong promotional performance
604,6105,HP,4/1/25,28112,Sales incentive payout exceeded budget on continued strong promotional performance
605,6105,HP,5/1/25,27948,Sales incentive payout exceeded budget on continued strong promotional performance
606,6105,HP,6/1/25,28306,Sales incentive payout exceeded budget on continued strong promotional performance
607,6105,HP,7/1/25,25762,
608,6105,HP,8/1/25,28128,Sales incentive payout exceeded budget on strong August promotional performance
609,6105,HP,9/1/25,27234,
610,6105,HP,10/1/25,27132,
611,6105,HP,11/1/25,27938,Sales incentive payout exceeded budget on strong November promotional performance
612,6105,HP,12/1/25,29200,Sales incentive payout exceeded budget on strong December year-end promotional performance
613,6209,HP,1/1/25,2612,
614,6209,HP,2/1/25,2540,
615,6209,HP,3/1/25,2758,
616,6209,HP,4/1/25,2603,
617,6209,HP,5/1/25,3563,
618,6209,HP,6/1/25,2580,
619,6209,HP,7/1/25,2448,
620,6209,HP,8/1/25,2435,
621,6209,HP,9/1/25,2444,
622,6209,HP,10/1/25,2573,
623,6209,HP,11/1/25,3919,
624,6209,HP,12/1/25,3741,
625,6301,HP,1/1/25,2612,
626,6301,HP,2/1/25,2540,
627,6301,HP,3/1/25,2758,
628,6301,HP,4/1/25,2603,
629,6301,HP,5/1/25,3563,
630,6301,HP,6/1/25,2580,
631,6301,HP,7/1/25,2448,
632,6301,HP,8/1/25,2435,
